dataset,alpha,critic_multiplier,weight_decay,num_seeds,seed_values,diverged_count,all_seeds_present,eligible_for_selection,selection_rank,mean_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,mean_final_test_mse,mean_final_vs_best_validation_gap,mean_last_50_val_mse_std,mean_last_50_train_mse_std,mean_runtime_seconds
abs,0.5,10.0,0.1,3,0|1|2,0,True,True,8,0.015047340766347962,0.015362574723562323,0.012059536523134611,0.01564518443147864,0.016035600747631162,0.0005978436651306804,0.0026644094345052347,0.0027158203985275515,197.5914385318756
abs,0.5,20.0,0.001,3,0|1|2,0,True,True,1,0.005930080882346574,0.0060582853405837835,0.0033480909741409465,0.006581849402708818,0.006765114884054554,0.0006517685203622442,0.0012684722727201979,0.0012884286581710891,199.23759563763937
abs,0.5,20.0,0.01,3,0|1|2,0,True,True,2,0.005930080882346574,0.0060582853405837835,0.0033480909741409465,0.006581849402708818,0.006765114884054554,0.0006517685203622442,0.0012684722727201979,0.0012884286581710891,196.35894735654196
abs,0.5,20.0,0.03,3,0|1|2,0,True,True,3,0.005930080882346574,0.0060582853405837835,0.0033480909741409465,0.006581849402708818,0.006765114884054554,0.0006517685203622442,0.0012684722727201979,0.0012884286581710891,191.28656395276388
abs,0.5,20.0,0.1,3,0|1|2,0,True,True,4,0.005930080882346574,0.0060582853405837835,0.0033480909741409465,0.006581849402708818,0.006765114884054554,0.0006517685203622442,0.0012684722727201979,0.0012884286581710891,196.47824279467264
linear,0.5,2.0,0.001,3,0|1|2,0,True,True,13,0.011682543378923625,0.011679828685243863,0.0020610689757138887,0.1311792489476686,0.13248364981910923,0.11949670556874499,0.0328614411080124,0.033014162209862266,191.42047007878622
linear,0.5,2.0,0.01,3,0|1|2,0,True,True,14,0.011682543378923625,0.011679828685243863,0.0020610689757138887,0.1311792489476686,0.13248364981910923,0.11949670556874499,0.0328614411080124,0.033014162209862266,196.03878466288248
linear,0.5,2.0,0.03,3,0|1|2,0,True,True,15,0.011682543378923625,0.011679828685243863,0.0020610689757138887,0.1311792489476686,0.13248364981910923,0.11949670556874499,0.0328614411080124,0.033014162209862266,190.56828141212463
linear,0.5,2.0,0.1,3,0|1|2,0,True,True,16,0.011682543378923625,0.011679828685243863,0.0020610689757138887,0.1311792489476686,0.13248364981910923,0.11949670556874499,0.0328614411080124,0.033014162209862266,191.11552890141806
linear,0.5,5.0,0.001,3,0|1|2,0,True,True,9,0.006410836232622748,0.006506352588985542,0.004384194636173587,0.014260820996448561,0.014182465398230515,0.007849984763825812,0.005579954460502777,0.0056038970374127015,193.7256809870402
