run_id,source,dataset,method,lr,cm,status,exclusion_category,exclusion_reason,gmm_eval,val_mse,actually_ran_as,run_dir
det_screen_expand_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p01_cm20,expansion_1,cifar10_x,fedogda_d,0.01,20.0,eligible,,,6.538956950917446e-05,0.14694624495308792,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedogda_d/seed_0/det_screen_expand_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p01_cm20
det_screen_expand_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p03_cm20,expansion_1,cifar10_x,fedogda_d,0.03,20.0,eligible,,,-1.5889626888399884e-05,0.16009975042799623,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedogda_d/seed_0/det_screen_expand_cifar10_x_fedogda_d_seed0_alpha0p5_lr0p03_cm20
det_screen_expand_cifar10_z_fedgda_d_seed0_alpha0p5_lr0p01_cm10,expansion_1,cifar10_z,fedgda_d,0.01,10.0,eligible,,,0.056898794449298844,0.20300886219738856,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_z/fedgda_d/seed_0/det_screen_expand_cifar10_z_fedgda_d_seed0_alpha0p5_lr0p01_cm10
det_screen_expand2_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm10,expansion_2_fedgda_d,cifar10_xz,fedgda_d,0.003,10.0,eligible,,,0.008896577418831429,0.14252746053827062,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_xz/fedgda_d/seed_0/det_screen_expand2_cifar10_xz_fedgda_d_seed0_alpha0p5_lr0p003_cm10
det_screen_expand2_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p333333_cm10,expansion_2_fedgda_d,cifar10_x,fedgda_d,0.333333,10.0,excluded,fedgda_d_pretraining_failure,"missing artifacts: ['metrics.json', 'mse_by_round.csv', 'predictions.npz', 'checkpoints/best_validation.pt', 'checkpoints/final.pt']",,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_x/fedgda_d/seed_0/det_screen_expand2_cifar10_x_fedgda_d_seed0_alpha0p5_lr0p333333_cm10
det_screen_expand2_cifar10_z_fedgda_d_seed0_alpha0p5_lr0p01_cm20,expansion_2_fedgda_d,cifar10_z,fedgda_d,0.01,20.0,eligible,,,0.07293439843219808,0.20850996632075097,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/cifar10_z/fedgda_d/seed_0/det_screen_expand2_cifar10_z_fedgda_d_seed0_alpha0p5_lr0p01_cm20
det_screen_expand2_femnist_x_fedgda_d_seed0_alpha0p5_lr0p333333_cm10,expansion_2_fedgda_d,femnist_x,fedgda_d,0.333333,10.0,excluded,fedgda_d_pretraining_failure,"missing artifacts: ['metrics.json', 'mse_by_round.csv', 'predictions.npz', 'checkpoints/best_validation.pt', 'checkpoints/final.pt']",,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_expand2_femnist_x_fedgda_d_seed0_alpha0p5_lr0p333333_cm10
det_screen_expand2_femnist_x_fedgda_d_seed0_alpha0p5_lr0p1_cm20,expansion_2_fedgda_d,femnist_x,fedgda_d,0.1,20.0,eligible,,,-0.0005162141070458656,0.11912617883986638,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_expand2_femnist_x_fedgda_d_seed0_alpha0p5_lr0p1_cm20
det_screen_expand2_femnist_x_fedgda_d_seed0_alpha0p5_lr0p333333_cm20,expansion_2_fedgda_d,femnist_x,fedgda_d,0.333333,20.0,excluded,fedgda_d_pretraining_failure,"missing artifacts: ['metrics.json', 'mse_by_round.csv', 'predictions.npz', 'checkpoints/best_validation.pt', 'checkpoints/final.pt']",,,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_x/fedgda_d/seed_0/det_screen_expand2_femnist_x_fedgda_d_seed0_alpha0p5_lr0p333333_cm20
det_screen_expand2_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm10,expansion_2_fedgda_d,femnist_z,fedgda_d,0.03,10.0,eligible,,,0.06806853688171927,0.14685631930323026,,/home/arnav22103/FederatedDeepGMM/results/highdim_deterministic_screen_20260813/femnist_z/fedgda_d/seed_0/det_screen_expand2_femnist_z_fedgda_d_seed0_alpha0p5_lr0p03_cm10
