run_id,method,dataset,seed,alpha,critic_multiplier,weight_decay,best_validation_mse,test_mse_at_best_validation,best_validation_round,final_validation_mse,final_test_mse,final_vs_best_validation_gap,last_50_val_mse_std,last_50_train_mse_std,diverged,runtime_seconds,result_dir
rerun_protocol_v1_sin_fedgda_s_seed2_alpha1p0,fedgda_s,sin,2,1.0,10.0,0.03,0.07876101103322113,0.08051380406543718,463,0.08121189315570035,0.0834056959803923,0.0024508821224792227,0.0007233968624194713,0.0007619639843822984,False,178.15817546844482,results/rerun_protocol_v1/sin/fedgda_s/seed_2/rerun_protocol_v1_sin_fedgda_s_seed2_alpha1p0
rerun_protocol_v1_sin_fedogda_s_seed2_alpha1p0,fedogda_s,sin,2,1.0,10.0,0.1,0.08361395502265909,0.08647868933938554,498,0.08363400295703197,0.08649161834589947,2.0047934372879883e-05,6.848795690392524e-05,6.519982311222802e-05,False,199.38783931732178,results/rerun_protocol_v1/sin/fedogda_s/seed_2/rerun_protocol_v1_sin_fedogda_s_seed2_alpha1p0
rerun_protocol_v1_step_fedgda_s_seed0_alpha0p1,fedgda_s,step,0,0.1,10.0,0.03,0.027814618496127007,0.028218572987749786,484,0.030057164705552048,0.030328771864915057,0.0022425462094250413,0.0019087304555718112,0.0019266350029992032,False,179.6958463191986,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p1
rerun_protocol_v1_step_fedogda_s_seed0_alpha0p1,fedogda_s,step,0,0.1,10.0,0.1,0.029913518146718273,0.030507676798837383,424,0.03009502163984087,0.030763924088293693,0.00018150349312259784,0.0010319092327075305,0.0010641559773695278,False,193.86003422737122,results/rerun_protocol_v1/step/fedogda_s/seed_0/rerun_protocol_v1_step_fedogda_s_seed0_alpha0p1
rerun_protocol_v1_step_fedgda_s_seed1_alpha0p1,fedgda_s,step,1,0.1,10.0,0.03,0.02486079364546243,0.025218379926375142,487,0.02673222730641975,0.027310156296552653,0.0018714336609573223,0.003453140034961627,0.0034209459473527526,False,182.67610955238342,results/rerun_protocol_v1/step/fedgda_s/seed_1/rerun_protocol_v1_step_fedgda_s_seed1_alpha0p1
rerun_protocol_v1_step_fedogda_s_seed1_alpha0p1,fedogda_s,step,1,0.1,10.0,0.1,0.024838549409417442,0.02515483355049589,114,0.028783181232496857,0.029347608216447208,0.003944631823079414,0.000622715265666291,0.0006433768061734714,False,195.9485743045807,results/rerun_protocol_v1/step/fedogda_s/seed_1/rerun_protocol_v1_step_fedogda_s_seed1_alpha0p1
rerun_protocol_v1_step_fedgda_s_seed2_alpha0p1,fedgda_s,step,2,0.1,10.0,0.03,0.02808520238906342,0.028442072541331992,486,0.02810944561536089,0.028457605743916845,2.4243226297470527e-05,0.002329708209359075,0.002410107852652737,False,177.61552810668945,results/rerun_protocol_v1/step/fedgda_s/seed_2/rerun_protocol_v1_step_fedgda_s_seed2_alpha0p1
rerun_protocol_v1_step_fedogda_s_seed2_alpha0p1,fedogda_s,step,2,0.1,10.0,0.1,0.031241650694060957,0.03188241102342823,430,0.035199213235721186,0.036291327330487545,0.003957562541660228,0.0010956353301721739,0.0011653675261529366,False,195.8667438030243,results/rerun_protocol_v1/step/fedogda_s/seed_2/rerun_protocol_v1_step_fedogda_s_seed2_alpha0p1
rerun_protocol_v1_step_fedgda_s_seed0_alpha0p5,fedgda_s,step,0,0.5,10.0,0.03,0.025790936878708287,0.026161904214876575,479,0.026394296444964816,0.026855397342953426,0.000603359566256529,0.0007147812897973978,0.0007559807040378654,False,182.41463589668274,results/rerun_protocol_v1/step/fedgda_s/seed_0/rerun_protocol_v1_step_fedgda_s_seed0_alpha0p5
rerun_protocol_v1_step_fedogda_s_seed0_alpha0p5,fedogda_s,step,0,0.5,10.0,0.1,0.02961461787380765,0.030184297414644914,499,0.02961461787380765,0.030184297414644914,0.0,0.0002885423801828846,0.0002970493318967433,False,195.53921961784363,results/rerun_protocol_v1/step/fedogda_s/seed_0/rerun_protocol_v1_step_fedogda_s_seed0_alpha0p5
