source_family,dataset,method,method_label,alpha,seed,prediction_key_used,curve_mse,curve_mae,curve_max_abs_error,best_validation_mse,test_mse_at_best_validation,final_test_mse,included,prediction_path,result_dir
base_sweep,linear,fedgda_s,FedGDA-S,0.5,0,best_validation_prediction,0.0001665673211154,0.0113947884605433,0.07744724577989,0.000165564635571,0.0001665673211154,0.0023926975756404,True,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha0p5
base_sweep,linear,fedgda_s,FedGDA-S,0.5,1,best_validation_prediction,0.000506919413258,0.0192090574229852,0.08819429222807,0.0005037077502202,0.0005069194132579,0.0173331805922615,True,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha0p5
base_sweep,linear,fedgda_s,FedGDA-S,0.5,2,best_validation_prediction,0.0003959586262426,0.0167301303382454,0.083165490940674,0.0003896788935959,0.0003959586262426,0.0068096349686642,True,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha0p5
base_sweep,linear,fedgda_s,FedGDA-S,1.0,0,best_validation_prediction,8.424079270976265e-05,0.0074806930898742,0.0227949010518691,8.541445515506145e-05,8.424079270976279e-05,0.0048459042252666,True,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha1p0/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_0/rerun_protocol_v1_linear_fedgda_s_seed0_alpha1p0
base_sweep,linear,fedgda_s,FedGDA-S,1.0,1,best_validation_prediction,0.0006129201898141,0.0186190376177733,0.1350269105560044,0.0005866422902324,0.0006129201898141,0.0119802642393934,True,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha1p0/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_1/rerun_protocol_v1_linear_fedgda_s_seed1_alpha1p0
base_sweep,linear,fedgda_s,FedGDA-S,1.0,2,best_validation_prediction,0.00055956868147,0.0204359457240922,0.065268608051054,0.0005648602861198,0.00055956868147,0.0051937497111933,True,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha1p0/predictions.npz,results/rerun_protocol_v1/linear/fedgda_s/seed_2/rerun_protocol_v1_linear_fedgda_s_seed2_alpha1p0
base_sweep,linear,fedogda_d,FedOGDA-D,0.1,0,best_validation_prediction,0.0004370743968414,0.016348013777257,0.112994418145933,0.0004357515235446,0.0004370743968414,0.0006158669172737,True,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p1
base_sweep,linear,fedogda_d,FedOGDA-D,0.1,1,best_validation_prediction,0.0007680780602386,0.0226620556098431,0.1236800490040113,0.0007650735102023,0.0007680780602386,0.0016200587173734,True,results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha0p1
base_sweep,linear,fedogda_d,FedOGDA-D,0.1,2,best_validation_prediction,0.007580085655972,0.0724520281137842,0.3567766480293786,0.0074331012488534,0.007580085655972,0.007580085655972,True,results/rerun_protocol_v1/linear/fedogda_d/seed_2/rerun_protocol_v1_linear_fedogda_d_seed2_alpha0p1/predictions.npz,results/rerun_protocol_v1/linear/fedogda_d/seed_2/rerun_protocol_v1_linear_fedogda_d_seed2_alpha0p1
base_sweep,linear,fedogda_d,FedOGDA-D,0.5,0,best_validation_prediction,0.000436322900772,0.016154310108141,0.1112405732348758,0.0004351827969334,0.000436322900772,0.0006168476630115,True,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedogda_d/seed_0/rerun_protocol_v1_linear_fedogda_d_seed0_alpha0p5
base_sweep,linear,fedogda_d,FedOGDA-D,0.5,1,best_validation_prediction,0.0007745383435478,0.0227029516823793,0.1276322330070527,0.0007714526017872,0.0007745383435478,0.0012345284050391,True,results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha0p5/predictions.npz,results/rerun_protocol_v1/linear/fedogda_d/seed_1/rerun_protocol_v1_linear_fedogda_d_seed1_alpha0p5
