family,phase,artifact_status,dataset,method,mode,training_scope,partition_alpha,comm_round_or_iterations,local_epochs,batch_size,g_learning_rate,f_learning_rate,server_learning_rate,critic_multiplier,weight_decay,gradient_clip_norm,number_of_runs,number_of_seeds,seeds,diverged_runs,mean_best_validation_mse,std_best_validation_mse,mean_test_mse_at_best_validation,std_test_mse_at_best_validation,mean_final_validation_mse,std_final_validation_mse,mean_final_test_mse,std_final_test_mse,mean_runtime_seconds,std_runtime_seconds
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,linear,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,2,2,1|2,0,0.006261935139519608,0.007226571971858772,0.006422753711354566,0.00744910027245691,0.036813368634481126,0.016003617384896175,0.03724470115910413,0.014797129151061766,107.11284554004669,13.775502042996019
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,sin,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,2,2,1|2,0,0.08145028918546193,0.0018563958222551958,0.08326587849481068,0.002943810232782796,0.08277728534584616,0.00023484137090816208,0.08468536852983799,0.0009236218860678346,163.9762945175171,22.628911356630322
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,sin,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,2,2,1|2,0,0.08183245497131486,0.0018186190317913363,0.08367845773525767,0.0027767078511287584,0.08479446528216253,0.0011293792703883625,0.0868037542308982,0.0004581906789269543,120.34772872924805,3.9535665799510697
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,step,gda,deterministic,centralized,,500,,0,0.005,0.03,,,0,1,2,2,1|2,0,0.028699706589190417,0.0015301735638695792,0.02910633665698236,0.0013094761485286173,0.030978608509201,0.0016926804387274663,0.0312457152917467,0.0017160621318063449,239.0722632408142,97.82428052492679
centralized_lowdim_v1_tuning,c5b_gda_sgda_lr_confirm,tuning,step,sgda,stochastic,centralized,,500,,256,0.005,0.03,,,0,1,2,2,1|2,0,0.02822630100528597,0.00040985438389406516,0.028656937917259144,0.00015193990835502986,0.030567539431073418,0.002901156750603581,0.030839645783489494,0.002934875158766366,193.184410572052,90.53469984814568
rerun_protocol_v1,,primary,abs,fedgda_d,deterministic,federated,0.1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.01808624748835162,0.015987995432448356,0.018548214722196466,0.016418131477688665,0.01848383430343646,0.015567390794338203,0.018997529740560352,0.015944939274564637,11740.07357120514,5650.247844395903
rerun_protocol_v1,,primary,abs,fedgda_d,deterministic,federated,0.5,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.017309465050776907,0.015593970491327434,0.017751509232719398,0.01600891273521945,0.017843121499209868,0.01506350772093222,0.01834762364130287,0.01541948322975749,8545.789139429728,59.459253337520956
rerun_protocol_v1,,primary,abs,fedgda_d,deterministic,federated,1,500,3,0,0.001,0.01,1.5,10,0.1,1,3,3,0|1|2,0,0.01729022753409439,0.015882091522473822,0.017724719971074897,0.01630485807862013,0.018048885213870745,0.015169805594571683,0.018563704378306966,0.015522978873345618,8766.022773345312,55.61593576845625
rerun_protocol_v1,,primary,abs,fedgda_s,stochastic,federated,0.1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0027558836368059727,0.0030244739942792524,0.002832930944014676,0.003108586943995063,0.005446482963526104,0.002501117130490316,0.0054988109254830685,0.002555560750618085,253.60184033711752,120.30616953884383
rerun_protocol_v1,,primary,abs,fedgda_s,stochastic,federated,0.5,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0026495178539163466,0.0032734239413694088,0.002709909146004257,0.003345629937247602,0.005024802193526919,0.0037369342135496735,0.005079136935586941,0.003777208771919626,181.3554723262787,0.3913263356050999
rerun_protocol_v1,,primary,abs,fedgda_s,stochastic,federated,1,500,3,256,0.003,0.03,1.5,10,0.03,1,3,3,0|1|2,0,0.0028033425613014744,0.0034380148724291715,0.002869259458590814,0.0035037754118206503,0.005697933611076428,0.0009640971726085826,0.005834931669040324,0.0010084471225656807,180.53167041142783,3.0769665375380115
